

Idaho (PST) SNOTEL Site Mores Creek Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Apr 04 10:38:02 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
637,2020-11-01,,     0.0,     1.7,     3.5,    11.0,    -0.7,     4.0,       0,
637,2020-11-02,,     0.0,     1.7,     5.6,    14.0,     1.7,     7.0,       0,
637,2020-11-03,,     0.0,     1.7,     7.0,    17.7,     5.1,     9.5,       0,
637,2020-11-04,,     0.0,     1.7,     6.3,    17.8,     5.6,     9.7,       0,
637,2020-11-05,,     0.0,     1.7,     6.2,    14.1,     5.7,     8.3,       0,
637,2020-11-06,,     0.0,     1.7,     8.9,    15.4,     4.5,     9.5,       0,
637,2020-11-07,,     0.0,     1.7,     6.6,    14.0,     6.6,     9.3,       0,
637,2020-11-08,,     0.0,     1.8,    -2.2,     7.6,    -2.2,     3.4,       0,
637,2020-11-09,,     0.3,     2.0,    -5.5,    -2.4,    -5.5,    -4.2,       2,
637,2020-11-10,,     0.3,     2.0,    -7.9,    -3.7,    -9.5,    -6.0,       2,
637,2020-11-11,,     1.2,     2.9,    -3.3,    -1.4,    -8.0,    -4.9,      12,
637,2020-11-12,,     1.3,     3.1,   -10.2,    -2.0,   -10.2,    -5.2,      12,
637,2020-11-13,,     1.4,     3.2,    -4.6,    -1.2,   -11.9,    -6.9,      10,
637,2020-11-14,,     3.2,     4.9,    -3.0,    -0.4,    -5.3,    -2.2,      20,
637,2020-11-15,,     3.5,     5.1,    -3.7,    -2.5,    -4.5,    -3.7,      22,
637,2020-11-16,,     4.6,     6.3,     0.9,     1.4,    -3.6,     0.1,      29,
637,2020-11-17,,     4.8,     6.5,     3.8,     6.4,     0.7,     2.9,      26,
637,2020-11-18,,     5.3,     6.9,     1.1,     9.2,     1.0,     5.4,      27,
637,2020-11-19,,     6.3,     8.0,    -1.0,     3.4,    -1.6,     1.1,      31,
637,2020-11-20,,     6.7,     8.6,    -7.0,    -0.4,    -7.4,    -2.3,      30,
637,2020-11-21,,     6.7,     8.6,    -8.5,    -0.7,    -9.9,    -6.7,      28,
637,2020-11-22,,     6.7,     8.6,    -7.4,    -1.5,   -10.8,    -7.0,      27,
637,2020-11-23,,     6.7,     8.6,    -4.2,     2.1,    -8.7,    -4.1,      26,
637,2020-11-24,,     6.7,     8.6,    -6.5,     0.8,    -6.7,    -3.2,      25,
637,2020-11-25,,     6.7,     8.6,    -3.5,     1.0,    -7.5,    -4.0,      26,
637,2020-11-26,,     6.9,     8.8,    -7.3,    -0.1,    -7.7,    -3.2,      29,
637,2020-11-27,,     6.9,     8.8,    -8.0,    -0.7,    -9.3,    -6.1,      28,
637,2020-11-28,,     6.9,     8.8,    -4.9,     0.9,    -8.9,    -4.9,      27,
637,2020-11-29,,     6.9,     8.8,    -4.0,     2.0,    -7.1,    -3.4,      27,
637,2020-11-30,,     6.9,     8.8,    -1.6,     2.7,    -6.7,    -2.7,      27,
637,2020-12-01,,     6.9,     8.8,    -4.8,     4.0,    -4.8,    -1.1,      27,
637,2020-12-02,,     6.9,     8.8,    -6.0,     0.0,    -8.1,    -4.5,      27,
637,2020-12-03,,     6.9,     8.8,    -3.8,     1.2,    -7.0,    -3.7,      27,
637,2020-12-04,,     6.9,     8.8,    -4.1,     2.7,    -5.6,    -2.3,      27,
637,2020-12-05,,     6.9,     8.8,    -2.5,     0.5,    -6.3,    -3.4,      27,
637,2020-12-06,,     6.9,     8.8,-99.9,     5.1,    -3.2,     0.5,      27,
637,2020-12-07,,     6.9,     8.8,    -2.2,     3.9,    -3.7,     0.1,      27,
637,2020-12-08,,     6.9,     8.8,    -1.1,     5.1,    -3.7,     0.1,      26,
637,2020-12-09,,     6.9,     8.8,     4.7,     7.8,    -0.6,     2.7,      26,
637,2020-12-10,,     6.9,     8.8,    -1.0,     5.1,    -3.5,     1.5,      26,
637,2020-12-11,,     6.9,     8.8,    -7.0,     0.9,    -7.4,    -4.1,      26,
637,2020-12-12,,     6.9,     8.8,    -8.4,    -4.1,    -9.8,    -6.2,      25,
637,2020-12-13,,     6.9,     8.8,   -10.8,    -4.1,   -11.6,    -8.7,      25,
637,2020-12-14,,     7.1,     8.9,    -5.1,    -3.5,   -12.3,    -6.3,      28,
637,2020-12-15,,     7.2,     8.9,    -5.3,    -0.4,    -8.1,    -4.8,      28,
637,2020-12-16,,     7.4,     9.1,    -3.5,    -2.0,    -6.3,    -3.9,      30,
637,2020-12-17,,     7.7,     9.3,    -0.8,     1.4,    -3.6,    -1.1,      32,
637,2020-12-18,,     8.4,     9.9,    -3.0,     1.1,    -3.9,    -1.0,      34,
637,2020-12-19,,     8.4,     9.9,    -6.1,    -0.2,    -6.1,    -2.8,      33,
637,2020-12-20,,     8.5,    10.0,    -1.5,     1.8,    -6.3,    -1.4,      34,
637,2020-12-21,,     9.6,    11.2,     3.1,     3.2,    -2.4,     0.8,      36,
637,2020-12-22,,     9.6,    11.9,     2.6,     6.8,     2.6,     4.1,      35,
637,2020-12-23,,     9.7,    12.0,    -9.9,     2.4,    -9.9,    -4.6,      37,
637,2020-12-24,,     9.7,    12.0,    -7.8,    -5.1,   -12.9,    -9.5,      37,
637,2020-12-25,,     9.7,    12.0,    -1.4,     1.9,    -9.3,    -4.0,      37,
637,2020-12-26,,     9.7,    12.4,     1.6,     3.8,    -3.5,    -0.3,      36,
637,2020-12-27,,    10.9,    13.2,    -4.5,     1.8,    -5.4,    -1.4,      40,
637,2020-12-28,,    10.9,    13.2,    -9.8,    -3.2,   -10.0,    -6.7,      40,
637,2020-12-29,,    10.9,    13.2,    -6.5,    -1.7,   -11.2,    -7.4,      40,
637,2020-12-30,,    10.9,    13.3,    -7.2,    -1.4,    -8.4,    -5.5,      40,
637,2020-12-31,,    11.3,    13.5,    -2.8,    -1.7,    -7.5,    -4.2,      45,
637,2021-01-01,,    11.4,    13.7,    -3.0,    -0.7,    -3.2,    -2.4,      46,
637,2021-01-02,,    11.5,    13.8,    -1.4,    -0.8,    -3.7,    -2.3,      44,
637,2021-01-03,,    11.7,    14.1,    -1.8,     0.7,    -2.8,    -1.7,      45,
637,2021-01-04,,    13.2,    15.4,    -3.7,     1.7,    -4.8,    -1.6,      54,
637,2021-01-05,,    14.1,    16.1,    -1.6,     1.2,    -4.2,    -0.6,      58,
637,2021-01-06,,    14.1,    16.1,    -6.8,     1.1,    -7.1,    -3.6,      57,
637,2021-01-07,,    14.2,    16.4,    -2.5,     3.1,    -7.8,    -2.9,      55,
637,2021-01-08,,    14.5,    16.6,    -3.8,     1.1,    -5.3,    -2.0,      58,
637,2021-01-09,,    14.5,    16.6,    -6.4,     1.0,    -8.8,    -4.0,      55,
637,2021-01-10,,    14.5,    16.6,    -6.5,    -1.2,    -8.6,    -5.6,      53,
637,2021-01-11,,    14.5,    16.6,    -7.6,    -2.7,    -8.1,    -5.7,      52,
637,2021-01-12,,    14.6,    16.7,    -1.0,     1.2,    -8.6,    -3.7,      51,
637,2021-01-13,,    16.3,    17.7,     0.9,     1.9,    -1.1,     0.7,      59,
637,2021-01-14,,    16.5,    18.5,    -7.2,     2.6,    -7.2,    -0.7,      61,
637,2021-01-15,,    16.5,    18.5,    -3.0,     0.6,    -7.8,    -4.1,      60,
637,2021-01-16,,    16.6,    18.7,    -1.8,     4.7,    -3.7,    -0.7,      57,
637,2021-01-17,,    16.6,    18.7,    -3.8,     2.1,    -3.9,    -2.1,      57,
637,2021-01-18,,    16.6,    18.7,    -4.1,     4.0,    -4.1,    -0.9,      57,
637,2021-01-19,,    16.6,    18.7,    -5.4,     0.0,    -6.7,    -3.3,      56,
637,2021-01-20,,    16.6,    18.7,    -6.9,     0.3,    -9.5,    -5.0,      56,
637,2021-01-21,,    16.6,    18.7,    -2.0,     2.1,    -7.9,    -3.4,      55,
637,2021-01-22,,    16.7,    18.9,    -1.9,    -0.1,    -3.0,    -1.7,      56,
637,2021-01-23,,    16.7,    18.9,    -3.4,     2.6,    -4.2,    -1.8,      56,
637,2021-01-24,,    16.7,    18.9,    -8.5,     1.5,    -8.5,    -3.7,      56,
637,2021-01-25,,    16.7,    18.9,    -8.5,    -1.1,   -11.5,    -7.2,      56,
637,2021-01-26,,    16.7,    18.9,    -9.9,    -2.0,   -10.3,    -7.2,      55,
637,2021-01-27,,    16.7,    18.9,    -6.7,    -4.6,   -10.5,    -7.2,      54,
637,2021-01-28,,    17.3,    19.7,    -2.9,    -2.7,    -7.2,    -3.9,      60,
637,2021-01-29,,    17.8,    20.1,    -0.6,     0.1,    -2.9,    -1.4,      64,
637,2021-01-30,,    18.3,    20.5,    -1.9,     1.2,    -1.9,    -0.4,      69,
637,2021-01-31,,    18.3,    20.5,    -5.8,     0.9,    -6.1,    -2.7,      68,
637,2021-02-01,,    18.3,    20.5,    -1.0,     2.6,    -8.4,    -2.8,      66,
637,2021-02-02,,    18.4,    20.6,     3.4,     6.6,    -2.2,     2.2,      65,
637,2021-02-03,,    18.9,    20.9,    -3.5,     6.1,    -3.5,     2.5,      69,
637,2021-02-04,,    19.0,    21.0,    -5.2,    -0.9,    -8.5,    -4.3,      67,
637,2021-02-05,,    19.1,    21.1,    -3.6,    -0.9,    -9.4,    -4.8,      67,
637,2021-02-06,,    19.6,    21.6,    -3.8,    -0.4,    -4.3,    -2.1,      68,
637,2021-02-07,,    19.6,    21.6,    -1.7,     1.2,    -3.9,    -1.3,      67,
637,2021-02-08,,    19.6,    21.6,    -4.5,    -1.3,    -6.6,    -3.3,      66,
637,2021-02-09,,    19.6,    21.6,    -8.3,    -0.4,    -8.3,    -5.3,      65,
637,2021-02-10,,    19.6,    21.6,    -7.2,     1.9,    -8.5,    -4.5,      64,
637,2021-02-11,,    19.6,    21.6,    -2.7,     1.6,   -10.5,    -4.6,      64,
637,2021-02-12,,    20.0,    22.0,    -2.3,    -0.5,    -5.9,    -2.9,      66,
637,2021-02-13,,    20.5,    22.5,    -4.0,    -1.6,    -4.1,    -2.8,      69,
637,2021-02-14,,    21.2,    23.2,    -7.8,     0.6,    -8.0,    -3.5,      73,
637,2021-02-15,,    21.4,    23.4,    -4.8,    -2.1,   -11.1,    -6.0,      76,
637,2021-02-16,,    22.6,    24.6,    -2.2,     0.3,    -4.8,    -2.2,      80,
637,2021-02-17,,    23.1,    25.1,    -5.3,    -1.0,    -5.3,    -3.1,      83,
637,2021-02-18,,    23.1,    25.1,   -10.7,    -1.4,   -10.7,    -5.3,      82,
637,2021-02-19,,    23.4,    25.4,    -5.7,    -2.7,   -12.9,    -7.4,      83,
637,2021-02-20,,    24.3,    26.3,    -2.5,     0.8,    -5.7,    -2.5,      88,
637,2021-02-21,,    24.4,    26.4,    -7.0,    -0.1,    -8.0,    -3.9,      86,
637,2021-02-22,,    24.5,    26.5,    -3.2,    -1.1,    -7.0,    -4.2,      85,
637,2021-02-23,,    24.8,    26.8,     0.6,     1.9,    -3.3,    -0.4,      84,
637,2021-02-24,,    24.9,    26.9,    -6.8,     0.5,    -9.2,    -4.4,      84,
637,2021-02-25,,    24.9,    26.9,   -10.0,    -0.7,   -10.1,    -6.2,      83,
637,2021-02-26,,    25.1,    27.1,    -5.1,    -3.9,   -12.6,    -7.4,      84,
637,2021-02-27,,    26.3,    27.5,    -7.0,    -2.9,    -7.1,    -5.5,      92,
637,2021-02-28,,    26.4,    27.5,   -11.9,    -2.1,   -11.9,    -7.2,      92,
637,2021-03-01,,    26.4,    27.5,    -8.9,    -1.7,   -14.0,    -7.6,      89,
637,2021-03-02,,    26.4,    27.5,    -3.2,     6.4,    -9.3,    -2.5,      87,
637,2021-03-03,,    26.4,    27.5,    -2.3,     8.6,    -4.2,     0.8,      85,
637,2021-03-04,,    26.4,    27.5,     1.2,     9.8,    -3.5,     2.0,      83,
637,2021-03-05,,    26.4,    27.5,    -0.7,    10.8,    -1.8,     3.0,      82,
637,2021-03-06,,    26.4,    27.5,     5.7,    11.5,    -0.9,     4.9,      79,
637,2021-03-07,,    26.9,    27.8,    -5.4,     5.9,    -5.6,     1.6,      79,
637,2021-03-08,,    26.9,    27.8,    -0.7,     5.1,    -6.2,    -0.6,      79,
637,2021-03-09,,    26.9,    27.8,    -2.8,     5.9,    -2.8,     0.4,      78,
637,2021-03-10,,    26.9,    27.8,    -6.3,     2.5,    -7.7,    -3.0,      78,
637,2021-03-11,,    26.9,    27.8,    -5.6,     4.2,    -9.2,    -3.3,      77,
637,2021-03-12,,    26.9,    27.8,    -3.8,     4.5,    -7.9,    -1.5,      76,
637,2021-03-13,,    26.9,    27.8,    -2.9,     5.8,    -7.0,    -1.0,      76,
637,2021-03-14,,    26.9,    27.8,    -1.7,     8.7,    -4.8,     1.7,      75,
637,2021-03-15,,    26.9,    27.8,     2.7,    11.8,    -2.6,     3.6,      74,
637,2021-03-16,,    26.9,    27.8,     2.7,     9.4,    -0.7,     4.0,      73,
637,2021-03-17,,    26.9,    27.8,    -0.7,     9.4,    -0.7,     3.6,      71,
637,2021-03-18,,    26.9,    27.8,     2.2,     8.7,    -2.2,     3.3,      70,
637,2021-03-19,,    27.0,    27.8,     6.3,    10.6,     1.5,     6.0,      69,
637,2021-03-20,,    27.7,    28.5,     0.7,     5.7,     0.4,     2.5,      69,
637,2021-03-21,,    27.7,    28.5,    -4.2,     3.8,    -4.2,    -0.3,      69,
637,2021-03-22,,    27.7,    28.5,    -2.4,     4.0,    -6.5,    -1.7,      69,
637,2021-03-23,,    28.0,    28.8,    -3.9,     1.4,    -4.7,    -1.6,      71,
637,2021-03-24,,    28.0,    28.8,    -4.7,     3.7,    -4.7,    -1.2,      70,
637,2021-03-25,,    28.6,    29.1,    -2.1,     3.0,    -6.6,    -2.4,      71,
637,2021-03-26,,    28.8,    29.4,    -1.5,     3.8,    -2.7,    -0.7,      72,
637,2021-03-27,,    28.8,    29.4,    -1.8,     4.6,    -3.6,     0.0,      71,
637,2021-03-28,,    28.8,    29.4,     1.2,    10.4,    -3.7,     2.5,      70,
637,2021-03-29,,    28.8,    29.4,     2.1,    13.1,     0.4,     7.1,      68,
637,2021-03-30,,    28.8,    29.4,    -7.3,     0.8,    -7.3,    -4.5,      68,
637,2021-03-31,,    28.8,    29.5,    -4.6,     1.9,    -8.1,    -3.2,      68,
637,2021-04-01,,    28.6,    29.5,     0.9,     9.2,    -7.4,     0.6,      66,
637,2021-04-02,,    28.1,    29.5,     4.8,    14.0,    -1.4,     6.0,      64,
637,2021-04-03,,    27.5,    29.5,     5.4,    13.6,     3.2,     8.0,      62,
637,2021-04-04,,    26.8,    29.5,     6.3,    14.8,     4.2,     8.7,      60,
637,2021-04-05,,    26.0,    29.5,     6.4,    13.2,     4.6,     8.2,      58,
637,2021-04-06,,    25.3,    29.5,    -2.1,     6.2,    -2.1,     2.3,      56,
637,2021-04-07,,    25.0,    29.5,     0.5,     9.4,    -3.6,     3.0,      55,
637,2021-04-08,,    24.3,    29.5,     4.9,    12.0,    -0.9,     5.4,      53,
637,2021-04-09,,    23.8,    29.5,    -4.9,     4.8,    -5.1,     0.5,      52,
637,2021-04-10,,    23.6,    29.5,     0.7,     9.5,    -6.4,     1.3,      51,
637,2021-04-11,,    23.2,    29.5,    -4.1,     6.3,    -4.1,     2.2,      49,
637,2021-04-12,,    23.1,    29.5,    -3.8,     4.3,    -8.1,    -1.5,      48,
637,2021-04-13,,    22.8,    29.5,    -0.8,     5.3,    -7.4,    -0.3,      48,
637,2021-04-14,,    22.4,    29.5,    -0.4,     6.8,    -1.4,     2.0,      47,
637,2021-04-15,,    21.8,    29.5,     0.3,     5.4,    -2.2,     1.4,      46,
637,2021-04-16,,    21.2,    29.5,     1.5,     7.4,    -2.4,     3.0,      44,
637,2021-04-17,,    20.3,    29.5,     1.3,     9.4,    -0.1,     3.9,      42,
637,2021-04-18,,    19.4,    29.5,     2.5,    12.1,     0.0,     5.7,      41,
637,2021-04-19,,    18.0,    29.5,     5.7,    13.4,     1.5,     7.3,      39,
637,2021-04-20,,    16.6,    29.5,    -0.2,     9.8,    -0.2,     5.7,      36,
637,2021-04-21,,    15.8,    29.5,     0.2,     9.9,    -2.1,     3.6,      34,
637,2021-04-22,,    14.9,    29.5,     1.8,    11.0,    -1.2,     4.8,      32,
637,2021-04-23,,    13.9,    29.5,     2.0,    10.4,    -0.5,     4.9,      31,
637,2021-04-24,,    13.4,    29.5,     3.7,    10.3,    -0.4,     5.0,      29,
637,2021-04-25,,    13.4,    30.2,     1.1,     6.3,     1.1,     3.5,      28,
637,2021-04-26,,    13.7,    30.6,     0.2,     3.9,     0.1,     1.5,      31,
637,2021-04-27,,    13.7,    30.7,     0.1,     6.8,    -0.6,     1.5,      30,
637,2021-04-28,,    13.2,    30.9,     2.5,    10.3,    -1.0,     4.3,      29,
637,2021-04-29,,    12.1,    30.9,     7.8,    13.6,     1.5,     7.7,      27,
637,2021-04-30,,    10.6,    30.9,     9.8,    17.7,     4.2,    10.8,      25,
637,2021-05-01,,     9.2,    30.9,     8.5,    19.0,     7.7,    12.3,      21,
637,2021-05-02,,     7.8,    30.9,     5.3,    15.2,     3.8,     8.6,      19,
637,2021-05-03,,     6.7,    30.9,     3.5,     9.9,     3.5,     6.4,      15,
637,2021-05-04,,     6.1,    30.9,     3.9,    10.9,     1.1,     6.1,      13,
637,2021-05-05,,     5.1,    30.9,     3.4,    11.2,     3.2,     6.6,      12,
637,2021-05-06,,     3.9,    30.9,     7.5,    15.5,     0.3,     8.5,       9,
637,2021-05-07,,     2.4,    30.9,    10.9,    20.9,     4.9,    13.2,       4,
637,2021-05-08,,     0.9,    30.9,    -1.1,    11.2,    -1.1,     7.0,       2,
637,2021-05-09,,     0.0,    30.9,    -0.1,     6.5,    -2.6,     1.9,       0,
637,2021-05-10,,     0.0,    30.9,     1.4,     8.1,    -1.9,     3.4,       0,
637,2021-05-11,,     0.0,    30.9,     1.9,     8.6,    -1.1,     4.0,       0,
637,2021-05-12,,     0.0,    30.9,     4.6,    12.6,     0.3,     6.6,       0,
637,2021-05-13,,     0.0,    30.9,     9.2,    16.2,     3.1,     9.9,       0,
637,2021-05-14,,     0.0,    30.9,     8.0,    17.9,     6.6,    12.4,       0,
637,2021-05-15,,     0.0,    30.9,     8.2,    15.2,     7.5,    10.8,       0,
637,2021-05-16,,     0.0,    30.9,     7.5,    17.8,     6.2,    11.5,       0,
637,2021-05-17,,     0.0,    30.9,     9.1,    20.4,     6.9,    13.7,       0,
637,2021-05-18,,     0.0,    30.9,    10.5,    20.9,     7.2,    14.0,       0,
637,2021-05-19,,     0.0,    30.9,     5.9,    15.0,     5.9,    11.1,       0,
637,2021-05-20,,     0.0,    31.0,     1.5,    12.6,     1.0,     6.5,       0,
637,2021-05-21,,     0.0,    31.1,     2.8,    10.1,     0.8,     4.2,       0,
637,2021-05-22,,     0.0,    31.1,     3.0,    10.8,     1.7,     5.2,       0,
637,2021-05-23,,     0.0,    31.4,     1.4,     9.1,     0.8,     4.4,       0,
637,2021-05-24,,     0.0,    31.5,     3.8,     9.3,     0.3,     4.4,       0,
637,2021-05-25,,     0.0,    31.6,     3.7,    10.3,     2.3,     5.8,       0,
637,2021-05-26,,     0.0,    32.1,     3.4,    11.8,     2.2,     5.8,       0,
637,2021-05-27,,     0.0,    32.1,     4.7,    12.7,     3.1,     6.8,       0,
637,2021-05-28,,     0.0,    32.1,    11.2,    18.3,     3.5,    11.3,       0,
637,2021-05-29,,     0.0,    32.1,     4.9,    14.5,     4.3,     9.3,       0,
637,2021-05-30,,     0.0,    32.1,     7.2,    18.6,     2.2,    10.6,       0,
637,2021-05-31,,     0.0,    32.1,    10.8,    20.4,     6.1,    13.5,       0,
637,2021-06-01,,     0.0,    32.1,    13.2,    21.8,     8.0,    15.5,       0,
637,2021-06-02,,     0.0,    32.1,    12.6,    23.8,     9.8,    16.8,       0,
637,2021-06-03,,     0.0,    32.1,    15.0,    27.3,    11.4,    19.4,       0,
637,2021-06-04,,     0.0,    32.1,    16.5,    28.5,    13.9,    21.0,       0,
637,2021-06-05,,     0.0,    32.1,    14.5,    24.9,    13.8,    19.2,       0,
637,2021-06-06,,     0.0,    32.1,     6.4,    20.2,     6.4,    15.2,       0,
637,2021-06-07,,     0.0,    32.1,     5.6,    18.0,     3.7,    10.1,       0,
637,2021-06-08,,     0.0,    32.1,    12.0,    18.9,     3.1,    11.8,       0,
637,2021-06-09,,     0.0,    32.1,    11.3,    18.0,     9.2,    14.0,       0,
637,2021-06-10,,     0.0,    32.1,     8.5,    19.4,     7.5,    13.7,       0,
637,2021-06-11,,     0.0,    32.6,     1.3,     8.5,     1.3,     3.9,       0,
637,2021-06-12,,     0.0,    32.6,     9.7,    15.9,     0.2,     8.6,       0,
637,2021-06-13,,     0.0,    32.6,    11.7,    19.6,     8.5,    13.8,       0,
637,2021-06-14,,     0.0,    32.6,    15.1,    29.1,    10.6,    19.7,       0,
637,2021-06-15,,     0.0,    32.6,    14.6,    26.7,    13.9,    19.7,       0,
637,2021-06-16,,     0.0,    32.6,     8.2,    22.1,     8.2,    16.4,       0,
637,2021-06-17,,     0.0,    32.6,     9.1,    22.4,     6.3,    13.9,       0,
637,2021-06-18,,     0.0,    32.6,    11.9,    24.0,     7.7,    15.7,       0,
637,2021-06-19,,     0.0,    32.6,    14.7,    26.0,    10.1,    17.8,       0,
637,2021-06-20,,     0.0,    32.6,    13.8,    24.8,    11.5,    18.2,       0,
637,2021-06-21,,     0.0,    32.6,    14.1,    22.9,    10.5,    16.8,       0,
637,2021-06-22,,     0.0,    32.6,    16.7,    25.4,    10.5,    18.2,       0,
637,2021-06-23,,     0.0,    32.6,    10.8,    27.8,    10.8,    19.5,       0,
637,2021-06-24,,     0.0,    32.6,    13.5,    24.6,     9.7,    16.9,       0,
637,2021-06-25,,     0.0,    32.6,    15.7,    23.8,    11.2,    17.9,       0,
637,2021-06-26,,     0.0,    32.6,    16.6,    22.6,    11.9,    17.8,       0,
637,2021-06-27,,     0.0,    32.6,    17.2,    26.0,    14.1,    19.7,       0,
637,2021-06-28,,     0.0,    32.6,    17.8,    28.2,    14.0,    21.0,       0,
637,2021-06-29,,     0.0,    32.6,    17.1,    29.4,    14.5,    21.7,       0,
637,2021-06-30,,     0.0,    32.6,    17.4,    31.0,    15.0,    22.3,       0,
637,2021-07-01,,     0.0,    32.6,    16.0,    28.1,    15.2,    21.0,       0,
637,2021-07-02,,     0.0,    32.6,    14.8,    26.6,    14.4,    18.3,       0,
637,2021-07-03,,     0.0,    32.6,    16.8,    28.1,    12.4,    20.3,       0,
637,2021-07-04,,     0.0,    32.8,    16.0,    29.0,    14.3,    20.2,       0,
637,2021-07-05,,     0.0,    32.8,    16.2,    26.8,    14.9,    20.4,       0,
637,2021-07-06,,     0.0,    32.8,    15.4,    26.9,    14.1,    20.1,       0,
637,2021-07-07,,     0.0,    32.8,    20.0,    30.6,    13.8,    22.1,       0,
637,2021-07-08,,     0.0,    32.8,    14.5,    27.3,    14.5,    20.8,       0,
637,2021-07-09,,     0.0,    32.8,    16.0,    27.8,    12.6,    19.7,       0,
637,2021-07-10,,     0.0,    32.8,    14.2,    26.4,    13.3,    19.6,       0,
637,2021-07-11,,     0.0,    32.8,    18.4,    30.2,    13.8,    21.3,       0,
637,2021-07-12,,     0.0,    32.8,    16.5,    28.3,    15.9,    21.5,       0,
637,2021-07-13,,     0.0,    32.8,    17.7,    29.8,    14.1,    21.5,       0,
637,2021-07-14,,     0.0,    32.8,    16.9,    26.0,    14.0,    20.4,       0,
637,2021-07-15,,     0.0,    32.8,    16.6,    27.3,    13.8,    20.1,       0,
637,2021-07-16,,     0.0,    32.8,    16.1,    27.9,    14.5,    20.5,       0,
637,2021-07-17,,     0.0,    32.8,    14.3,    27.7,    13.5,    19.7,       0,
637,2021-07-18,,     0.0,    32.8,    15.9,    28.7,    12.6,    20.1,       0,
637,2021-07-19,,     0.0,    32.8,    19.7,    29.8,    15.5,    22.2,       0,
637,2021-07-20,,     0.0,    32.8,    14.1,    24.3,    13.8,    19.2,       0,
